base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,NETO2024201,Research Challenges for Augmenting Endoscopy Image Datasets using Image Combination Methodologies,Alexandre Neto; Diogo Libânio; Mário Dinis-Ribeiro; Miguel Coimbra; António Cunha,2024,https://doi.org/10.1016/j.procs.2024.06.163,Procedia Computer Science,duplicate,Duplicata de 'Research Challenges for Augmenting Endoscopy Image Datasets using Image Combinat…' já presente em Scopus/S1.,ScienceDirect/S3,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,ZHOU2024e35854,RETRACTED: Optimizing MobileNetV2 for improved accuracy in early gastric cancer detection based on dynamic pelican optimizer,Guoping Zhou; Qiyu He; Xiaoli Liu; Xinghua Kai; Weikang Cao; Junning Ding; Bufeng Zhuang; Shuhua Xu; Myo Thwin,2024,https://doi.org/10.1016/j.heliyon.2024.e35854,Heliyon,included,DL/CV aplicado a achados do trato GI alto — presume-se imagens endoscópicas/histopatológicas.,ScienceDirect/S3; ScienceDirect/S4,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,CHANDEL2026S-434,869 CONVENTIONAL VERSUS. ROBOTIC ENDOSCOPIC SLEEVE GASTROPLASTY,Vishal Chandel; Pichamol Jirapinyo; Christopher C. Thompson,2026,https://doi.org/10.1016/S0016-5085(26)01349-1,Gastroenterology,included,Sem abstract; recuperado por string forte (ScienceDirect/S3) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S3,não
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,MA2025103524,Development and validation of an AI foundation model for endoscopic diagnosis of esophagogastric junction adenocarcinoma: a cohort and deep learning study,Yikun Ma; Bo Li; Ying Chen; Zijie Yue; Shuchang Xu; Jingyao Li; Lei Ma; Liang Zhong; Duowu Zou; Leiming Xu; Yunshi Zhong; Xiaobo Li; Weiqun Ding; Minmin Zhang; Dongli He; Zhenghong Li; Ye Chen; Ye Zhao; Jialong Zhuo; Xiaofen Wu; Lisha Yi; Miaojing Shi; Huihui Sun,2025,https://doi.org/10.1016/j.eclinm.2025.103524,eClinicalMedicine,duplicate,Duplicata de 'Development and validation of an AI foundation model for endoscopic diagnosis of…' já presente em Scopus (VLM/FMs)/S1.,ScienceDirect/S3,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,CHEN2021422,Automated and real-time validation of gastroesophageal varices under esophagogastroduodenoscopy using a deep convolutional neural network: a multicenter retrospective study (with video),Mingkai Chen; Jing Wang; Yong Xiao; Lianlian Wu; Shan Hu; Shi Chen; Guodong Yi; Wei Hu; Xianmu Xie; Yijie Zhu; Yiyun Chen; Yanning Yang; Honggang Yu,2021,https://doi.org/10.1016/j.gie.2020.06.058,Gastrointestinal Endoscopy,duplicate,"Duplicata de 'Automated and real-time validation of gastroesophageal varices under
esophagogas…' já presente em Web of Science/S1.",ScienceDirect/S3,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,HU2025S35,ARTIFICIAL INTELLIGENCE-ASSISTED ENDOSCOPY SYSTEM FOR DIAGNOSING HELICOBACTER PYLORI INFECTION ON MUTLTI-INSTANCE LEARNING MODEL: A MULTICENTER STUDY,Yue Hu; Jianwei Xu; Liang Huang; Bin Lv,2025,https://doi.org/10.1016/j.gie.2025.03.064,Gastrointestinal Endoscopy,included,"Título/keywords indicam DL/CV em endoscopia digestiva alta ou achado GI, mesmo sem abstract.",ScienceDirect/S3; ScienceDirect/S4,não
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,ZHANG2023199,A real-time interpretable artificial intelligence model for the cholangioscopic diagnosis of malignant biliary stricture (with videos),Xiang Zhang; Dehua Tang; Jin-Dong Zhou; Muhan Ni; Peng Yan; Zhenyu Zhang; Tao Yu; Qiang Zhan; Yonghua Shen; Lin Zhou; Ruhua Zheng; Xiaoping Zou; Bin Zhang; Wu-Jun Li; Lei Wang,2023,https://doi.org/10.1016/j.gie.2023.02.026,Gastrointestinal Endoscopy,included,"Sinais ambíguos no abstract, mas recuperado por string forte (ScienceDirect/S3) com filtro endoscopia alta + IA — confiável.",ScienceDirect/S3; ScienceDirect/S4,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,YI2023182,The application of machine learning and deep learning radiomics in the treatment of esophageal cancer,Jinling Yi; Yibo Wu; Boda Ning; Ji Zhang; Maksim Pleshkov; Ivan Tolmachev; Xiance Jin,2023,https://doi.org/10.1016/j.radmp.2023.10.009,Radiation Medicine and Protection,included,DL/CV aplicado a achados do trato GI alto — presume-se imagens endoscópicas/histopatológicas.,ScienceDirect/S3; ScienceDirect/S4,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,OHMORI2020301,Endoscopic detection and differentiation of esophageal lesions using a deep neural network,Masayasu Ohmori; Ryu Ishihara; Kazuharu Aoyama; Kentaro Nakagawa; Hiroyoshi Iwagami; Noriko Matsuura; Satoki Shichijo; Katsumi Yamamoto; Koji Nagaike; Masanori Nakahara; Takuya Inoue; Kenji Aoi; Hiroyuki Okada; Tomohiro Tada,2020,https://doi.org/10.1016/j.gie.2019.09.034,Gastrointestinal Endoscopy,included,DL/CV em endoscopia com achado do trato GI alto.,ScienceDirect/S3; ScienceDirect/S4,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,ZAMMIT20231455,Quantification of Celiac Disease Severity Using Video Capsule Endoscopy: A Comparison of Human Experts and Machine Learning Algorithms,Stefania Chetcuti Zammit; Mark E. McAlindon; Elliot Greenblatt; Michael Maker; Jenifer Siegelman; Daniel A. Leffler; Ozlem Yardibi; David Raunig; Terry Brown; Reena Sidhu,2023,https://doi.org/10.2174/1573405619666230123110957,Current Medical Imaging,included,DL/CV em endoscopia com achado do trato GI alto.,ScienceDirect/S3; ScienceDirect/S4,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,NAM2022258,"Deep learning model for diagnosing gastric mucosal lesions using endoscopic images: development, validation, and method comparison",Joon Yeul Nam; Hyung Jin Chung; Kyu Sung Choi; Hyuk Lee; Tae Jun Kim; Hosim Soh; Eun Ae Kang; Soo-Jeong Cho; Jong Chul Ye; Jong Pil Im; Sang Gyun Kim; Joo Sung Kim; Hyunsoo Chung; Jeong-Hoon Lee,2022,https://doi.org/10.1016/j.gie.2021.08.022,Gastrointestinal Endoscopy,included,DL/CV em endoscopia com achado do trato GI alto.,ScienceDirect/S3; ScienceDirect/S4,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,ZHENG2024102208,Endoscopic video aided identification method for gastric area,Xiangwei Zheng; Dejian Su; Xuanchi Chen; Mingzhe Zhang,2024,https://doi.org/10.1016/j.jksuci.2024.102208,Journal of King Saud University - Computer and Information Sciences,included,DL/CV em endoscopia com achado do trato GI alto.,ScienceDirect/S3; ScienceDirect/S4,sim
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,TARAR2023S-717,Su1951 COVID-19 INFECTION RESULTED IN DELAYS FOR ENDOSCOPIC EVALUATION FOR NON-VARICEAL UPPER GASTROINTESTINAL BLEEDING,Zahid Ijaz Tarar; Umer Farooq; Hamza Ertugrul; Saad Saleem; Harleen Chela; Ebubekir Daglilar,2023,https://doi.org/10.1016/S0016-5085(23)02665-3,Gastroenterology,included,Título/keywords indicam endoscopia + achado GI alto; presume-se CAD/análise de imagem.,ScienceDirect/S3; ScienceDirect/S4,não
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,QUON2026S-2575,Su1215 PREDICTING PROGRESSION OF GASTRIC PRECANCER WITH ARTIFICIAL INTELLIGENCE: A MACHINE LEARNING MODEL FOR RISK STRATIFICATION AND SURVEILLANCE TIMING,Cameron M. Quon; Susie Lee; Kristen Pang; Sean Lee; Nathan Kim; Grace Im; Jennifer Koh; Nara Lee; Gino In; Albert Han; Sang Hoon Ahn; Eunjung Lee; Stella Yoo; Andrew H. Kim; James L. Buxbaum,2026,https://doi.org/10.1016/S0016-5107(26)06034-7,Gastrointestinal Endoscopy,included,"Título/keywords indicam DL/CV em endoscopia digestiva alta ou achado GI, mesmo sem abstract.",ScienceDirect/S3; ScienceDirect/S4,não
ScienceDirect,S3,SD3 — upper GI endoscopy + DL/CNN,RAU2026S-434,868 YOUR MISSION: SAFE APPOSITION. DEVELOPMENT AND DEPLOYMENT OF AN EUS-GUIDED DRAINAGE COPILOT AI,Prashanth Rau; Matthew Marcello; Patrick D. Powers; Alessandro Colletta; Neil Patel; Subin Chirayath; Sarah Hyder; Jaroslav Zivny; Savant Mehta; Neil B. Marya,2026,https://doi.org/10.1016/S0016-5085(26)01348-X,Gastroenterology,included,Sem abstract; recuperado por string forte (ScienceDirect/S3) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S3,não
