base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_s10388-025-01130-x,Detection of pathologic complete response using deep neural network-based endoscopic evaluation in patients with esophageal cancer receiving neoadjuvant chemotherapy: a nationwide multicenter retrospective study from 46 Japanese esophageal centers,Satoru Matsuda; Tomoyuki Irino; Yuko Kitagawa; Akihiko Okamura; Shuhei Mayanagi; Eisuke Booka; Masashi Takeuchi; Junya Kitadani; Mitsuro Kanda; Tetsuya Abe; Takeo Bamba; Masaaki Iwatsuki; Takehiro Kagaya; Takanori Kurogochi; Yasuhiro Tsubosa; Hirofumi Kawakubo; Yoshihiro Kakeji; Koji Kono; Masayuki Watanabe; Hiroya Takeuchi,2025,10.1007/s10388-025-01130-x,Esophagus,duplicate,Duplicata de 'Detection of pathologic complete response using deep neural network-based endosc…' já presente em Scopus/S1.,Springer Nature Link/S4,não
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_s10784-025-09680-2,The distributional effects of the EU’s and China’s climate diplomacy in Central Asia,Morena Skalamera,2025,10.1007/s10784-025-09680-2,"International Environmental Agreements: Politics, Law and Economics",excluded,"[manual_v3] Diplomacia climática EU/China na Ásia Central — política ambiental, totalmente fora do escopo. Falso positivo de string Brasil/LatAm Springer.",Springer Nature Link/S4,sim
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_s13762-025-06988-z,"Navigating sustainability transitions: technological innovation, clean energy, and ecological footprint",T. Khan; L. Wei; A. Khan; C. Işık; M. Ahmad; M. Anas,2026,10.1007/s13762-025-06988-z,International Journal of Environmental Science and Technology,excluded,"[manual_v3] Transições de sustentabilidade e pegada ecológica — economia ambiental, fora do escopo.",Springer Nature Link/S4,não
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_s40812-025-00355-2,From agriculture to agroindustry: the European Union Farm to Fork policy,Mariano Weber; Marco Ciro Liscio; Daniele Bregoli; Paolo Sospiro,2025,10.1007/s40812-025-00355-2,Journal of Industrial and Business Economics,duplicate,Duplicata de 'From agriculture to agroindustry: the European Union Farm to Fork policy…' já presente em Springer Nature Link/S2.,Springer Nature Link/S4,sim
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_s12672-025-02153-7,CLDN9 and hsa-miR-4496 as non-invasive biomarkers for gastric cancer detection,Qiongxia Hu; Lu Han; Jinglin Wang; Fei Li; Hongfei Pu; Yue Shi,2025,10.1007/s12672-025-02153-7,Discover Oncology,excluded,"[manual_v3] Biomarcadores moleculares (CLDN9, miRNA) para câncer gástrico — biologia molecular não-invasiva, sem componente de imagem endoscópica nem IA visual.",Springer Nature Link/S4,não
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_978-981-97-9120-0_5,Potential and Characteristics of Rural Distributed Zero-Carbon Energy in China,Building Energy Research Center Tsinghua University,2025,10.1007/978-981-97-9120-0_5,Decarbonizing Rural Buildings and Rural Energy System,excluded,[manual_v3] Energia distribuída zero-carbono em zonas rurais da China — fora do escopo.,Springer Nature Link/S4,não
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_978-3-031-69162-1_1,"Prioritizing Drug Targets in Pathogenic Bacteria by Harnessing Structural Biology, Metabolic Analysis, and Omics Data Integration",Miranda Clara Palumbo; Federico Serral; Adrián Gustavo Turjanski; Dario Fernández Do Porto,2024,10.1007/978-3-031-69162-1_1,Structure-Based Drug Design,excluded,"[manual_v3] Priorização de alvos farmacológicos em bactérias patogênicas — biologia estrutural, fora do escopo.",Springer Nature Link/S4,não
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_s00455-024-10740-z,Abstracts from the 31st Meeting of the Dysphagia Research Society,Catriona M. Steele,2024,10.1007/s00455-024-10740-z,Dysphagia,duplicate,Duplicata de 'Abstracts from the 31st Meeting of the Dysphagia Research Society…' já presente em Springer Nature Link/S1.,Springer Nature Link/S4,não
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1186_s13054-024-04822-5,43rd International Symposium on Intensive Care & Emergency Medicine,,2024,10.1186/s13054-024-04822-5,Critical Care,duplicate,Duplicata de '43rd International Symposium on Intensive Care & Emergency Medicine…' já presente em Springer Nature Link/S2.,Springer Nature Link/S4,não
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1186_s40677-024-00287-4,The potential use of nature-based solutions as natural hazard mitigation measure for linear infrastructure in the Nordic Countries,Vittoria Capobianco; Rosa Maria Palau; Anders Solheim; Kjersti Gisnås; Graham Gilbert; Per Danielsson; Peter van der Keur,2024,10.1186/s40677-024-00287-4,Geoenvironmental Disasters,duplicate,Duplicata de 'The potential use of nature-based solutions as natural hazard mitigation measure…' já presente em Springer Nature Link/S2.,Springer Nature Link/S4,sim
Springer Nature Link,S4,Springer S4 — Brasil / América Latina,sp_10.1007_s10640-020-00493-2,Perspectives on the Economics of the Environment in the Shadow of Coronavirus,,2020,10.1007/s10640-020-00493-2,Environmental and Resource Economics,excluded,[manual_v3] Economia ambiental em contexto da COVID-19 — fora do escopo.,Springer Nature Link/S4,não
