base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000710818600001,Application of Artificial Intelligence in Early Gastric Cancer Diagnosis,"Xiao, Zili; Ji, Danian; Li, Feng; Li, Zhengliang; Bao, Zhijun",2022,10.1159/000519601,DIGESTION,included,DL/CV em endoscopia com achado do trato GI alto.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000600548600018,"Use of artificial intelligence for detection of gastric lesions by
magnetically controlled capsule endoscopy","Xia, Ji; Xia, Tian; Pan, Jun; Gao, Fei; Wang, Shuang; Qian, Yang-Yang; Wang, Heng; Zhao, Jie; Jiang, Xi; Zou, Wen-Bin; Wang, Yuan-Chen; Zhou, Wei; Li, Zhao-Shen; Liao, Zhuan",2021,10.1016/j.gie.2020.05.027,GASTROINTESTINAL ENDOSCOPY,duplicate,Duplicata de 'Use of artificial intelligence for detection of gastric lesions by magnetically …' já presente em PubMed/S3.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:001446153505099,"Artificial intelligence assisted recognition and diagnosis of
Magnetically controlled capsule gastroscopy","Chen, Susu; Wei, Chuyu; Li, Dongqi; Borchert, Glen M.; Yu, Zhong; Lin, Jiawen; Huang, Jingshan",2024,10.1109/BIBM62325.2024.10822068,"2024 IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICINE,
BIBM",duplicate,Duplicata de 'Artificial intelligence assisted recognition and diagnosis of Magnetically contr…' já presente em Scopus/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000669998400008,Usefulness of artificial intelligence in gastric neoplasms,"Kim, Ji Hyun; Nam, Seung-Joo; Park, Sung Chul",2021,10.3748/wjg.v27.i24.3543,WORLD JOURNAL OF GASTROENTEROLOGY,duplicate,Duplicata de 'Usefulness of artificial intelligence in gastric neoplasms…' já presente em Scopus/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000474632100004,Overview of Deep Learning in Gastrointestinal Endoscopy,"Min, Jun Ki; Kwak, Min Seob; Cha, Jae Myung",2019,10.5009/gnl18384,GUT AND LIVER,included,Visão computacional/DL aplicada a endoscopia digestiva alta.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000609618500004,Application of Artificial Intelligence in Gastrointestinal Endoscopy,"Wu, Jia; Chen, Jiamin; Cai, Jianting",2021,10.1097/MCG.0000000000001423,JOURNAL OF CLINICAL GASTROENTEROLOGY,included,Visão computacional/DL aplicada a endoscopia digestiva alta.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000987027000001,"Endoscopic Imaging for the Diagnosis of Neoplastic and Pre-Neoplastic
Conditions of the Stomach","Martins, Bruno Costa; Moura, Renata Nobre; Kum, Angelo So Taa; Matsubayashi, Carolina Ogawa; Marques, Sergio Barbosa; Safatle-Ribeiro, Adriana Vaz",2023,10.3390/cancers15092445,CANCERS,duplicate,"Duplicata de 'Endoscopic Imaging for the Diagnosis of Neoplastic and Pre-Neoplastic
Conditions…' já presente em Web of Science/S1.",Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:001611551300046,"A Hybrid Attention-Based Fuzzy Pooling Network Model for Locating Polyp
Positions in Gastroscopic Image in Internet of Medical Things","Ma, Xiaoyu; Wang, Honghu; Ren, Xiaoxue; Ma, Yu",2025,10.1109/JIOT.2025.3555427,IEEE INTERNET OF THINGS JOURNAL,duplicate,Duplicata de 'A Hybrid Attention-Based Fuzzy Pooling Network Model for Locating Polyp Position…' já presente em IEEE/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000659145500007,"Deep learning for diagnosis of precancerous lesions in upper
gastrointestinal endoscopy: A review","Yan, Tao; Wong, Pak Kin; Qin, Ye-Ying",2021,10.3748/wjg.v27.i20.2531,WORLD JOURNAL OF GASTROENTEROLOGY,included,Visão computacional/DL aplicada a endoscopia digestiva alta.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000462157600038,Real-time gastric polyp detection using convolutional neural networks,"Zhang, Xu; Chen, Fei; Yu, Tao; An, Jiye; Huang, Zhengxing; Liu, Jiquan; Hu, Weiling; Wang, Liangjing; Duan, Huilong; Si, Jianmin",2019,10.1371/journal.pone.0214133,PLOS ONE,duplicate,Duplicata de 'Real-time gastric polyp detection using convolutional neural networks…' já presente em PubMed/S3.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000684113300001,"The role of computer-assisted systems for upper-endoscopy quality
monitoring and assessment of gastric lesions","Lazar, Daniela Cornelia; Avram, Mihaela Flavia; Faur, Alexandra Corina; Romosan, Ioan; Goldis, Adrian",2021,10.1093/gastro/goab008,GASTROENTEROLOGY REPORT,duplicate,"Duplicata de 'The role of computer-assisted systems for upper-endoscopy quality
monitoring and…' já presente em Web of Science/S1.",Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:001304539800056,Application of MRI-based Deep Learning Models in Gastric Cancer,"Yuan, Letian",2024,10.1145/3662739.3670218,"PROCEEDINGS OF 2024 INTERNATIONAL CONFERENCE ON MACHINE INTELLIGENCE AND
DIGITAL APPLICATIONS, MIDA2024",duplicate,Duplicata de 'Application of MRI-based Deep Learning Models in Gastric Cancer…' já presente em Scopus/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000861306100001,"Improvement of Gastroscopy Classification Performance Through Image
Augmentation Using a Gradient-Weighted Class Activation Map","Ham, Hyun-Sik; Lee, Han-Sung; Chae, Jung-Woo; Cho, Hyun Chin; Cho, Hyun-Chong",2022,10.1109/ACCESS.2022.3207839,IEEE ACCESS,duplicate,Duplicata de 'Improvement of Gastroscopy Classification Performance Through Image Augmentation…' já presente em IEEE/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000545843300001,Utilizing artificial intelligence in endoscopy: a clinician's guide,"Namikawa, Ken; Hirasawa, Toshiaki; Yoshio, Toshiyuki; Fujisaki, Junko; Ozawa, Tsuyoshi; Ishihara, Soichiro; Aoki, Tomonori; Yamada, Atsuo; Koike, Kazuhiko; Suzuki, Hideo; Tada, Tomohiro",2020,10.1080/17474124.2020.1779058,EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY,included,DL/CV em endoscopia com achado do trato GI alto.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000663993400002,Artificial Intelligence in Endoscopy,"Okagawa, Yutaka; Abe, Seiichiro; Yamada, Masayoshi; Oda, Ichiro; Saito, Yutaka",2022,10.1007/s10620-021-07086-z,DIGESTIVE DISEASES AND SCIENCES,included,Visão computacional/DL aplicada a endoscopia digestiva alta.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000469452600289,"Automatic Analysis of Endoscopic Images for Polyps Detection and
Segmentation","Pozdeev, Alexandr A.; Obukhova, Nataliia A.; Motyko, Alexandr A.",2019,10.1109/eiconrus.2019.8657018,"PROCEEDINGS OF THE 2019 IEEE CONFERENCE OF RUSSIAN YOUNG RESEARCHERS IN
ELECTRICAL AND ELECTRONIC ENGINEERING (EICONRUS)",duplicate,Duplicata de 'Automatic analysis of endoscopic images for polyps detection and segmentation…' já presente em Scopus/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:001106636700001,"Lightweight deep learning model incorporating an attention mechanism and
feature fusion for automatic classification of gastric lesions in
gastroscopic images","Wang, Lingxiao; Yang, Yingyun; Yang, Aiming; Li, Ting",2023,10.1364/BOE.487456,BIOMEDICAL OPTICS EXPRESS,duplicate,"Duplicata de 'Lightweight deep learning model incorporating an attention mechanism and
feature…' já presente em Web of Science/S1.",Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000446342100004,"Detecting and Locating Gastrointestinal Anomalies Using Deep Learning
and Iterative Cluster Unification","Iakovidis, Dimitris K.; Georgakopoulos, Spiros V.; Vasilakakis, Michael; Koulaouzidis, Anastasios; Plagianakos, Vassilis P.",2018,10.1109/TMI.2018.2837002,IEEE TRANSACTIONS ON MEDICAL IMAGING,duplicate,Duplicata de 'Detecting and Locating Gastrointestinal Anomalies Using Deep Learning and Iterat…' já presente em Scopus/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:001401930400001,"A prospective and comparative study on improving the diagnostic accuracy
of early gastric cancer based on deep convolutional neural network
real-time diagnosis system (with video)","Feng, Jie; Zhang, Yaoping; Feng, Zhijun; Ma, Huiming; Gou, Yani; Wang, Pengfei; Feng, Yanhu; Wang, Xiang; Huang, Xiaojun",2025,10.1007/s00464-025-11527-5,SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,duplicate,Duplicata de 'A prospective and comparative study on improving the diagnostic accuracy of earl…' já presente em PubMed/S3.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000518765200004,"A systematic evaluation and optimization of automatic detection of
ulcers in wireless capsule endoscopy on a large dataset using deep
convolutional neural networks","Wang, Sen; Xing, Yuxiang; Zhang, Li; Gao, Hewei; Zhang, Hao",2019,10.1088/1361-6560/ab5086,PHYSICS IN MEDICINE AND BIOLOGY,duplicate,Duplicata de 'A systematic evaluation and optimization of automatic detection of ulcers in wir…' já presente em PubMed/S3.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000743747500009,"Real-time artificial intelligence for detecting focal lesions and
diagnosing neoplasms of the stomach by white-light endoscopy (with
videos)","Wu, Lianlian; Xu, Ming; Jiang, Xiaoda; He, Xinqi; Zhang, Heng; Ai, Yaowei; Tong, Qiaoyun; Lv, Peihua; Lu, Bin; Guo, Mingwen; Huang, Manling; Ye, Liping; Shen, Lei; Yu, Honggang",2022,10.1016/j.gie.2021.09.017,GASTROINTESTINAL ENDOSCOPY,duplicate,Duplicata de 'Real-time artificial intelligence for detecting focal lesions and diagnosing neo…' já presente em Scopus/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000897677600005,"Classification of precancerous lesions based on fusion of multiple
hierarchical features","Zhou, Huijun; Liu, Zhenyang; Li, Ting; Chen, Yifei; Huang, Wei; Zhang, Zijian",2023,10.1016/j.cmpb.2022.107301,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,duplicate,"Duplicata de 'Classification of precancerous lesions based on fusion of multiple
hierarchical …' já presente em Web of Science/S1.",Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:001062050500161,"AUTOMATIC CLASSIFICATION OF ESOPHAGOGASTRODUODENOSCOPY SUB-ANATOMICAL
REGIONS","Bravo, Diego; Ruano, Josue; Jaramillo, Maria; Gallego, Daniel; Gomez, Martin; Gonzalez, Fabio A.; Romero, Eduardo",2023,10.1109/ISBI53787.2023.10230483,"2023 IEEE 20TH INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING, ISBI",duplicate,Duplicata de 'Automatic Classification of Esophagogastroduodenoscopy Sub-Anatomical Regions…' já presente em Scopus/S1.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000840326600016,"Artificial Intelligence and Deep Learning for Upper Gastrointestinal
Neoplasia","Sharmat, Prateek; Hassan, Cesare",2022,10.1053/j.gastro.2021.11.040,GASTROENTEROLOGY,included,Visão computacional/DL aplicada a endoscopia digestiva alta.,PubMed/S3; ScienceDirect/S3; ScienceDirect/S4; Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000879909900001,"Automatic classification of gastric lesions in gastroscopic images using
a lightweight deep learning model with attention mechanism and
cost-sensitive learning","Wang, Lingxiao; Yang, Yingyun; Li, Jingyang; Tian, Wei; He, Kun; Xu, Tianming; Fang, Zhaohui; Yang, Aiming; Li, Ting",2022,10.3389/fphy.2022.1033422,FRONTIERS IN PHYSICS,duplicate,"Duplicata de 'Automatic classification of gastric lesions in gastroscopic images using
a light…' já presente em Web of Science/S1.",Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000722196400023,"Evaluation of the effects of an artificial intelligence system on
endoscopy quality and preliminary testing of its performance in
detecting early gastric cancer: a randomized controlled trial","Wu, Lianlian; He, Xinqi; Liu, Mei; Xie, Huaping; An, Ping; Zhang, Jun; Zhang, Heng; Ai, Yaowei; Tong, Qiaoyun; Guo, Mingwen; Huang, Manling; Ge, Cunjin; Yang, Zhi; Yuan, Jingping; Liu, Jun; Zhou, Wei; Jiang, Xiaoda; Huang, Xu; Mu, Ganggang; Wan, Xinyue; Li, Yanxia; Wang, Hongguang; Wang, Yonggui; Zhang, Hongfeng; Chen, Di; Gong, Dexin; Wang, Jing; Huang, Li; Li, Jia; Yao, Liwen; Zhu, Yijie; Yu, Honggang",2021,10.1055/a-1350-5583,ENDOSCOPY,duplicate,Duplicata de 'Evaluation of the effects of an artificial intelligence system on endoscopy qual…' já presente em PubMed/S3.,Web of Science/S2,sim
Web of Science,S2,WoS S2 — Lesões e alterações gástricas por IA,WOS:000792637700001,"Automated Disease Detection in Gastroscopy Videos Using Convolutional
Neural Networks","Zhang, Chenxi; Xiong, Zinan; Chen, Shuijiao; Ding, Alex; Cao, Yu; Liu, Benyuan; Liu, Xiaowei",2022,10.3389/fmed.2022.846024,FRONTIERS IN MEDICINE,duplicate,Duplicata de 'Automated Disease Detection in Gastroscopy Videos Using Convolutional Neural Net…' já presente em Scopus/S1.,Web of Science/S2,sim
